osada,kraj,data,poziom,tor,szcz,m05,m10,m15,m20,razem
can-h,can,825,h,1,h1,96.37,99.82,100.18,102.55,398.92
srb-h,srb,825,h,2,h1,93.32,98.02,98.4,97.11,386.85
rus-h,rus,825,h,3,h1,93.61,100.86,105.81,109.14,409.42
cro-h,cro,825,h,4,h1,90.11,95.96,98.21,97.01,381.29
bul-h,bul,825,h,5,h1,95.41,98.94,98.13,94.04,386.52
isr-h,isr,825,h,6,h1,96.41,96.69,99.57,102.74,395.41
ned-h,ned,825,h,1,h2,94.73,99.33,100.93,99.26,394.25
gbr-h,gbr,825,h,2,h2,94.02,95.9,95.68,93.72,379.32
hun-h,hun,825,h,3,h2,92.54,99.94,104.73,104.29,401.5
ger-h,ger,825,h,4,h2,92.12,96.49,96.6,94.07,379.28
esp-h,esp,825,h,5,h2,96.05,100.83,103.03,99.1,399.01
den-h,den,825,h,6,h2,94.7,96.55,99.41,99.51,390.17
nor-h,nor,825,h,1,h3,93.14,98.35,100.81,96.76,389.06
lat-h,lat,825,h,2,h3,99.1,105.57,105.11,105.07,414.85
aus-h,aus,825,h,3,h3,93.71,96.36,96.7,101.13,387.9
est-h,est,825,h,4,h3,93.85,98.85,100.9,103.22,396.82
usa-h,usa,825,h,5,h3,94.26,96.84,99.82,98.92,389.84
ita-h,ita,825,h,6,h3,91,96.41,96.77,97.04,381.22
chn-h,chn,825,h,1,h4,96.36,99.45,98.91,99.68,394.4
arg-h,arg,825,h,2,h4,94.47,98.79,103,104.7,400.96
ltu-h,ltu,825,h,3,h4,92.51,96.08,96.92,98.45,383.96
aut-h,aut,825,h,4,h4,93.94,99.41,103.8,105.28,402.43
nzl-h,nzl,825,h,5,h4,93.74,95.1,95.33,96.6,380.77
ned-r,ned,827,r,1,r1,94.81,99.28,101.77,104.08,399.94
ltu-r,ltu,827,r,2,r1,94.24,97.29,97.19,100.12,388.84
nor-r,nor,827,r,3,r1,93.29,97.67,99.54,103.28,393.78
can-r,can,827,r,4,r1,96.26,100.49,101.29,104.79,402.83
aut-r,aut,827,r,1,r2,93.84,100.54,105.08,102.07,401.53
den-r,den,827,r,2,r2,93.34,96.54,100.99,103.5,394.37
aus-r,aus,827,r,3,r2,92.24,97.14,100.12,101.99,391.49
isr-r,isr,827,r,4,r2,93.71,97.43,105.41,105.76,402.31
lat-r,lat,827,r,5,r2,93.17,104.57,111.64,110.48,419.86
hun-r,hun,827,r,1,r3,96.13,102.08,105.9,106.44,410.55
arg-r,arg,827,r,2,r3,98.74,103.07,107.11,107.79,416.71
gbr-r,gbr,827,r,3,r3,94.37,98.5,99.97,101.54,394.38
srb-r,srb,827,r,4,r3,94.54,98.77,101.5,102,396.81
est-r,est,827,r,5,r3,95.66,100.14,102.13,102.56,400.49
esp-r,esp,827,r,1,r4,98.97,100.96,101.69,97.59,399.21
chn-r,chn,827,r,2,r4,94.92,102.15,103.17,98.9,399.14
bul-r,bul,827,r,3,r4,94.1,100.35,102.33,99.94,396.72
usa-r,usa,827,r,4,r4,96.56,101.58,107.18,112.36,417.68
rus-r,rus,827,r,5,r4,94.48,101.21,105.82,113.37,414.88
hun-s,hun,829,s,1,scd1,91.02,96.11,98.99,94.17,380.29
ned-s,ned,829,s,2,scd1,90.76,95.75,96.21,94.42,377.14
esp-s,esp,829,s,3,scd1,93.59,97.42,95.07,94.06,380.14
isr-s,isr,829,s,4,scd1,92,95.24,95.9,94.68,377.82
usa-s,usa,829,s,5,scd1,92.81,96.55,97.34,94.59,381.29
arg-s,arg,829,s,1,scd2,92.41,94.29,96.53,95.12,378.35
can-s,can,829,s,2,scd2,93.2,95.69,96.73,94.3,379.92
aut-s,aut,829,s,3,scd2,93.08,95.1,96.89,117.35,402.42
est-s,est,829,s,4,scd2,93.18,95.99,95.73,92.56,377.46
rus-s,rus,829,s,5,scd2,93.71,95.54,97.6,97.08,383.93
lat-s,lat,829,s,6,scd2,95.17,100.23,104.67,104.14,404.21
ger-s,ger,829,s,1,sab1,88.36,91.16,94.03,94.24,367.79
cro-s,cro,829,s,2,sab1,88.08,90.89,91.09,89.66,359.72
gbr-s,gbr,829,s,3,sab1,90.96,93.77,94.22,93.76,372.71
bul-s,bul,829,s,4,sab1,91.08,93.92,94.27,90.12,369.39
den-s,den,829,s,5,sab1,91.35,93.76,96.61,100.46,382.18
nor-s,nor,829,s,6,sab1,91.28,93.9,94.25,92.81,372.24
nzl-s,nzl,829,s,1,sab2,91.52,91.16,91.21,89.66,363.55
ita-s,ita,829,s,2,sab2,89.26,91.54,91.59,89.91,362.3
ltu-s,ltu,829,s,3,sab2,89.95,91.18,91.01,89.7,361.84
aus-s,aus,829,s,4,sab2,90.1,91.37,92.21,88.84,362.52
