osada,kraj,data,poziom,tor,szcz,m05,m10,m15,m20,razem
pur-h,pur,30 VIII 15,h,1,h1,119.51,127.88,129.41,125.83,502.63
nzl-h,nzl,30 VIII 15,h,2,h1,111.53,116.13,117.34,113.89,458.89
srb-h,srb,30 VIII 15,h,3,h1,113.04,120.26,128.88,130.73,492.91
aut-h,aut,30 VIII 15,h,4,h1,109.01,113.11,114.62,112.99,449.73
ger-h,ger,30 VIII 15,h,5,h1,108.66,111.17,115,116.74,451.57
lat-h,lat,30 VIII 15,h,6,h1,113.85,116.97,116.32,114.97,462.11
rus-h,rus,30 VIII 15,h,1,h2,113.9,115.16,115.05,116.56,460.67
ltu-h,ltu,30 VIII 15,h,2,h2,111.06,113.38,113.24,109.91,447.59
can-h,can,30 VIII 15,h,3,h2,111.11,112.76,112.56,111.18,447.61
ita-h,ita,30 VIII 15,h,4,h2,113.33,118.3,119.12,117.15,467.9
zim-h,zim,30 VIII 15,h,5,h2,108.98,113.64,115.63,115.27,453.52
kaz-h,kaz,30 VIII 15,h,6,h2,114.2,123.2,126.96,120.51,484.87
pol-h,pol,30 VIII 15,h,1,h3,111.52,114.99,116.63,115.22,458.36
swe-h,swe,30 VIII 15,h,2,h3,112.54,118.04,118.34,116.43,465.35
cze-h,cze,30 VIII 15,h,3,h3,109.04,111.05,111.28,115.11,446.48
irl-h,irl,30 VIII 15,h,4,h3,109.94,112.97,114.63,113.81,451.35
ned-h,ned,30 VIII 15,h,5,h3,109.86,114.58,115.95,112.31,452.7
vie-h,vie,30 VIII 15,h,6,h3,116.44,124.63,125.74,125.37,492.18
ken-h,ken,30 VIII 15,h,1,h4,125.99,137.77,139.18,132.64,535.58
tog-h,tog,30 VIII 15,h,2,h4,132.36,143.65,137.73,139.97,553.71
ngr-h,ngr,30 VIII 15,h,3,h4,116.27,121.25,128.6,124.96,491.08
den-h,den,30 VIII 15,h,4,h4,107.52,109.83,112.94,119.29,449.58
usa-h,usa,30 VIII 15,h,5,h4,109.44,111.4,116,117.7,454.54
kor-h,kor,30 VIII 15,h,1,h5,115.76,118.8,123.6,122.53,480.69
qat-h,qat,30 VIII 15,h,2,h5,115.24,122.28,125.41,123.08,486.01
sui-h,sui,30 VIII 15,h,3,h5,110.5,111.44,120.55,119.89,462.38
aus-h,aus,30 VIII 15,h,4,h5,106.65,109.27,113.81,117.2,446.93
bel-h,bel,30 VIII 15,h,5,h5,113.93,116.67,119.55,121.23,471.38
esp-h,esp,30 VIII 15,h,1,h6,112.89,118.95,123.25,123.41,478.5
ina-h,ina,30 VIII 15,h,2,h6,117.58,123.03,123.83,123.47,487.91
ukr-h,ukr,30 VIII 15,h,3,h6,109.75,113.26,118.99,122.88,464.88
blr-h,blr,30 VIII 15,h,4,h6,108.22,112.56,114.23,116.64,451.65
chn-h,chn,30 VIII 15,h,5,h6,108.88,110.97,113.29,113.99,447.13
ina-r,ina,31 VIII 15,r,1,r1,118.37,119.33,121.86,122.87,482.43
rus-r,rus,31 VIII 15,r,2,r1,116.34,116.05,115.13,113.14,460.66
kor-r,kor,31 VIII 15,r,3,r1,119.93,123,125.96,120.45,489.34
swe-r,swe,31 VIII 15,r,4,r1,113.59,116.29,114.79,110.45,455.12
pur-r,pur,31 VIII 15,r,5,r1,123.85,125.35,125.9,124.24,499.34
ita-r,ita,31 VIII 15,r,1,r2,115.49,118.72,119.4,117.33,470.94
ken-r,ken,31 VIII 15,r,2,r2,128.74,138.19,137.94,135.86,540.73
lat-r,lat,31 VIII 15,r,3,r2,114,121.3,116.96,114.9,467.16
qat-r,qat,31 VIII 15,r,4,r2,116.9,123.49,124.73,124.38,489.5
vie-r,vie,31 VIII 15,r,5,r2,116.61,123.59,127.68,127.55,495.43
srb-r,srb,31 VIII 15,r,1,r3,112.61,117.65,120.09,117.73,468.08
esp-r,esp,31 VIII 15,r,2,r3,114.08,119.18,119.11,116.87,469.24
pol-r,pol,31 VIII 15,r,3,r3,112.74,117.64,120.38,117.2,467.96
tog-r,tog,31 VIII 15,r,4,r3,130.87,144.76,135.61,141.87,553.11
kaz-r,kaz,31 VIII 15,r,5,r3,117.79,119.73,124.43,119.36,481.31
srb-q,srb,2 IX 15,q,1,q1,112.93,117.74,120.78,120.89,472.34
ngr-q,ngr,2 IX 15,q,2,q1,114.89,124.63,137.94,132.29,509.75
chn-q,chn,2 IX 15,q,3,q1,110.14,112.01,112.69,114.66,449.5
aut-q,aut,2 IX 15,q,4,q1,110.07,114.18,115.59,122.27,462.11
sui-q,sui,2 IX 15,q,5,q1,110.64,113.89,113.33,117.52,455.38
lat-q,lat,2 IX 15,q,6,q1,114.03,116.99,117.13,114.66,462.81
rus-q,rus,2 IX 15,q,1,q2,114.4,117.02,116.93,115.59,463.94
ned-q,ned,2 IX 15,q,2,q2,110.68,115.21,115.23,114.72,455.84
ltu-q,ltu,2 IX 15,q,3,q2,110.22,113.94,114.07,114.48,452.71
aus-q,aus,2 IX 15,q,4,q2,107.5,111.21,112.51,115.71,446.93
usa-q,usa,2 IX 15,q,5,q2,111.54,112.36,113.55,114.11,451.56
pol-q,pol,2 IX 15,q,6,q2,112.03,116.65,118,115.52,462.2
swe-q,swe,2 IX 15,q,1,q3,112.92,115.6,115.6,110,454.12
ukr-q,ukr,2 IX 15,q,2,q3,111.09,116.95,119.55,121.4,468.99
can-q,can,2 IX 15,q,3,q3,112.17,113.83,113.88,112.89,452.77
cze-q,cze,2 IX 15,q,4,q3,110.28,112.64,114.05,112.18,449.15
ger-q,ger,2 IX 15,q,5,q3,110.85,115.78,114.27,116.05,456.95
bel-q,bel,2 IX 15,q,6,q3,116.78,118.7,118.61,114,468.09
ita-q,ita,2 IX 15,q,1,q4,113.69,119,119.84,120.24,472.77
