;Sty;Lut;Mar;Kwi;Maj;Cze;Lip;Sie;Wrz;Paź;Lis;Gru;Średnia;Amplituda;Szer;Dług;Wysokość;OpSty;OpLut;OpMar;OpKwi;OpMaj;OpCze;OpLip;OpSie;OpWrz;OpPaź;OpLis;OpGru;Suma
Białystok;-3,1;-2,5;1,3;7,4;13,1;15,8;18;17;12,2;7,4;2;-1,8;7,2;21,1;53,139;23,159;132;35;26;31;36;56;74;80;70;52;46;46;40;592
Bydgoszcz;-3,4;-1,2;4,1;5,8;13,5;16,2;18,4;16,4;13,8;8,1;3,8;-3,9;7,6;22,3;53,12;18,01;38;30;25;29;34;50;59;71;62;45;38;36;35;514
Gdańsk;0,1;1,1;3;7;11,7;15,4;18,2;18,1;14,3;9,4;4,5;1,2;8,7;18,1;54,36;18,639;8;33;27;33;34;64;69;74;66;56;41;41;38;576
Gorzów Wlkp.;-0,5;0,4;3,8;8,8;13,8;16,5;18,9;18,4;13,9;9,1;3,8;0,4;8,9;19,4;52,74;15,23;26;36;29;32;41;53;71;62;57;46;39;45;45;556
Katowice;-1,6;-0,4;3,3;8,7;13,9;16,5;18,6;17,9;13,4;8,8;3,6;-0,5;8,5;20,2;50,259;19,02;265;39;36;42;53;77;90;103;79;63;53;49;48;732
Kielce;-2,7;-1,6;2,1;7,9;13,4;16;18,1;17,5;12,8;8;2,5;-1,4;7,7;20,8;50,889;20,649;272;40;34;35;42;60;73;86;79;50;39;47;48;633
Kraków;-2,1;-0,8;3,1;8,7;14;16,8;18,8;18,1;13,5;8,7;3,1;-0,9;8,4;20,9;50,06;19,959;214;34;32;34;48;83;97;85;87;54;46;45;41;686
Łódź;-1,8;-0,8;2,8;8,5;13,8;16,4;18,7;18,1;13,4;8,6;3,2;-0,7;8,4;20,5;51,77;19,459;206;29;27;34;36;56;68;88;61;51;40;41;46;577
Lublin;-2,9;-2;1,9;8;13,5;16,1;18,2;17,6;12,9;8;2,5;-1,5;7,7;21,1;51,24;22,57;193;32;30;30;42;57;72;76;72;50;39;44;39;583
Olsztyn;-2,3;-1,6;1,8;7,4;12,8;15,5;17,9;17,3;12,7;8;2,7;-1;7,6;20,2;53,779;20,489;123;36;26;33;37;54;84;79;77;59;50;56;47;638
Opole;-0,9;0,2;3,9;9,1;14,4;17;19,2;18,7;14,2;9,5;4,3;0,2;9,2;20,1;50,679;17,94;116;36;32;32;39;71;78;84;86;51;44;44;41;638
Poznań;-0,8;0;3,6;8,8;14;16,6;18,9;18,3;13,7;8,9;3,7;0,2;8,8;19,7;52,399;16,9;80;30;24;27;36;53;60;69;57;43;39;39;38;515
Rzeszów;-2,3;-1,3;2,8;8,5;14;16,8;18,8;18,1;13,5;8,6;3,4;-1;8,3;21,1;50,049;21,999;207;30;28;30;45;71;85;91;77;50;41;39;40;627
Szczecin;0,2;0,9;4;8,6;13,6;16,2;18,6;18,1;13,9;9,4;4,5;1,1;9,1;18,4;53,43;14,529;147;36;27;32;38;52;57;61;55;44;38;46;41;527
Toruń;-1,5;-0,5;2,9;8,2;13,7;16,4;18,8;18,2;13,5;8,6;3,4;-0,3;8,5;20,3;53,02;18,609;51;27;23;26;30;56;78;77;60;45;39;40;35;536
Warszawa;-1,9;-1;2,7;8,6;14,2;16,5;19;18,3;13,4;8,5;3,1;-0,7;8,4;20,9;52,259;21,02;113;22;21;26;33;58;71;69;62;43;27;41;32;505
Wrocław;-0,7;0,3;4;9;14,1;16,8;19;18,5;14;9,3;4;0,4;9,1;19,7;51,11;17,03;117;28;26;26;39;64;80;84;78;48;40;43;34;590
Zielona Góra;-0,8;0,2;3,7;8,8;13,9;16,5;18,9;18,4;13,9;9,1;3,7;0,1;8,9;19,7;51,94;15,489;204;36;31;32;42;60;62;67;71;45;43;45;48;582
